structure,nums,freq
L7D5,3618,0.000562794697223297
L1D10,3546,0.000551594802751192
D3L3D3,3320,0.000516439578435972
D3L5,3274,0.000509284090301016
D4L5,3258,0.000506795224862770
D11L3,3246,0.000504928575784086
D7L6,3231,0.000502595264435731
D16,3132,0.000487195409536586
L1D7L1,3125,0.000486106530907353
L9D7,3082,0.000479417705042068
L2D6L2,3035,0.000472106662817221
D6L7,2948,0.000458573456996761
L10D2,2938,0.000457017916097857
D2L6,2928,0.000455462375198954
L4D11,2867,0.000445973575715642
L3S1D6,2797,0.000435084789423317
L12D4,2788,0.000433684802614304
L2D4L3,2503,0.000389351886995554
L5D9,2490,0.000387329683826979
L12D3,2487,0.000386863021557308
L3D3L3D3,2484,0.000386396359287637
L3D6L3,2480,0.000385774142928076
D9S1,2388,0.000371463166658163
L3D2L3,2360,0.000367107652141233
D11L2,2295,0.000356996636298360
D8S1,2294,0.000356841082208470
L3D12,2235,0.000347663390904939
L6D9,2218,0.000345018971376803
L3D3L2,2193,0.000341130119129544
L4S1D4,2160,0.000335996834163163
D7S2,2143,0.000333352414635027
L10D1,2132,0.000331641319646233
D3L7,2124,0.000330396886927110
L1D8L1,2061,0.000320596979264018
D11L1,2036,0.000316708127016759
D1L7,2030,0.000315774802477417
L7S1,1982,0.000308308206162680
L3D4S1,1968,0.000306130448904215
D5L5,1965,0.000305663786634544
D6L8,1964,0.000305508232544653
D8L5,1951,0.000303486029376079
D10L3,1816,0.000282486227240881
D8L6,1812,0.000281864010881320
L4D10,1805,0.000280775132252087
L4S1D3,1802,0.000280308469982416
L4D1L3,1795,0.000279219591353184
D7L7,1749,0.000272064103218227
L5D11,1726,0.000268486359150749
D1L6D1,1725,0.000268330805060859
D4L7,1709,0.000265841939622613
L8D5,1709,0.000265841939622613
L6S1D4,1693,0.000263353074184368
L3D4L2,1689,0.000262730857824806
L7D9,1660,0.000258219789217986
D5L4,1654,0.000257286464678644
L6S1D3,1646,0.000256042031959521
D18,1610,0.000250442084723468
L5S1D4,1537,0.000239086636161473
L2D12,1528,0.000237686649352459
L4S1L3,1524,0.000237064432992898
D6S3,1499,0.000233175580745639
D20,1498,0.000233020026655749
D3L2D3,1460,0.000227108971239915
D10L2,1428,0.000222131240363424
L3D6S1,1423,0.000221353469913972
L11D2,1423,0.000221353469913972
D9L4,1387,0.000215753522677920
L2S1D6,1387,0.000215753522677920
L3D4,1371,0.000213264657239674
L1D3L1D3,1356,0.000210931345891319
D2L7,1354,0.000210620237711538
D1L1D1L1D1L1D1L1D1L1,1341,0.000208598034542963
L7S1D4,1336,0.000207820264093512
L3D1L4,1332,0.000207198047733950
L5D1L2,1329,0.000206731385464279
D1S1D7,1329,0.000206731385464279
D10L1,1317,0.000204864736385595
L13D3,1278,0.000198798126879871
L5S1D3,1273,0.000198020356430419
L4D3L3,1257,0.000195531490992174
L11D1,1255,0.000195220382812393
L2D3L3,1254,0.000195064828722503
L2D4L2D4,1238,0.000192575963284257
L7S1D3,1224,0.000190398206025792
L3D4L1,1223,0.000190242651935902
L3D4L3D4,1198,0.000186353799688643
L3S1D7,1196,0.000186042691508862
D6S1L3,1187,0.000184642704699849
D11L4,1186,0.000184487150609959
L2D7L2,1186,0.000184487150609959
D4L3D4,1177,0.000183087163800946
D3L8,1148,0.000178576095194125
L4D3L2,1134,0.000176398337935660
D2L8,1129,0.000175620567486209
D4L8,1122,0.000174531688856976
L5,1112,0.000172976147958073
L6D10,1102,0.000171420607059169
L2D2L2D2,1086,0.000168931741620923
L5D10,1080,0.000167998417081581
L4D4S1,1068,0.000166131768002897
L17,1065,0.000165665105733226
L1D2L1D2L1D2,1058,0.000164576227103994
L4D3S1,1054,0.000163954010744432
L3D7L3,1043,0.000162242915755638
L4D1L4,1043,0.000162242915755638
L3D3L4,1038,0.000161465145306186
L4S1D6,1020,0.000158665171688160
L4D2L2,1017,0.000158198509418489
L2D3L2D3,1013,0.000157576293058928
L20,1012,0.000157420738969037
L1D12,1009,0.000156954076699366
D4L2D4,997,0.000155087427620682
L3D1L3D1,994,0.000154620765351011
L6D1L1,992,0.000154309657171230
L3D3,991,0.000154154103081340
L3D8L3,986,0.000153376332631888
L2D6S1,978,0.000152131899912765
L3S1L4,976,0.000151820791732985
D7L8,975,0.000151665237643094
L2D8L2,969,0.000150731913103752
D6L9,965,0.000150109696744191
L3D4L4,965,0.000150109696744191
D8L7,964,0.000149954142654300
D7S3,948,0.000147465277216055
L1D1L1D1L1D1L1D1L1D1,947,0.000147309723126164
L4D3L4,938,0.000145909736317151
S8,921,0.000143265316789015
L6S2,919,0.000142954208609234
L6D3S1,916,0.000142487546339563
L3S1D8,911,0.000141709775890112
L4S1L4,910,0.000141554221800221
L9D5,908,0.000141243113620441
L4D4L2,902,0.000140309789081098
L8S1D4,898,0.000139687572721537
L18,883,0.000137354261373182
L12D2,882,0.000137198707283291
L6S1D6,875,0.000136109828654059
L3D3S3,871,0.000135487612294497
L2D1L5,869,0.000135176504114717
L2D2L4,862,0.000134087625485484
D3L9,846,0.000131598760047239
L6D4S1,841,0.000130820989597787
L4D3L4D3,839,0.000130509881418006
D3L4D3,837,0.000130198773238225
D11S1,836,0.000130043219148335
L5S1L3,834,0.000129732110968554
L1D9L1,834,0.000129732110968554
L6S1L3,826,0.000128487678249432
L3D6L2,824,0.000128176570069651
L4D4L4,820,0.000127554353710089
L3D2L4,806,0.000125376596451625
L1D6L2,803,0.000124909934181953
L5S1D6,794,0.000123509947372940
L3D3S2,782,0.000121643298294256
L8S1,779,0.000121176636024585
L4D4L3,769,0.000119621095125681
L2D5L2,767,0.000119309986945901
L12D1,763,0.000118687770586339
D12L3,763,0.000118687770586339
L8S1D3,757,0.000117754446046997
D1L8,742,0.000115421134698642
L1D6S1,734,0.000114176701979519
D10S1,718,0.000111687836541273
D2L2D4,717,0.000111532282451383
L4D3L1,712,0.000110754512001931
D10L4,709,0.000110287849732260
L2D4,707,0.000109976741552480
L3D7S1,707,0.000109976741552480
L5D3S1,706,0.000109821187462589
L5D1L3,706,0.000109821187462589
L2S1D7,700,0.000108887862923247
L4D2L3,699,0.000108732308833357
L3D4L8,699,0.000108732308833357
L11D6,690,0.000107332322024344
L4D2L4,682,0.000106087889305221
D6S1L2,682,0.000106087889305221
L7D3S1,677,0.000105310118855769
D3L1D3L1,671,0.000104376794316427
L1S1L3D1L2,665,0.000103443469777085
L9S1,664,0.000103287915687194
L2D4L4,663,0.000103132361597304
D4L1D4,662,0.000102976807507414
D3L3D4,645,0.000100332387979278
L1D1L6,645,0.000100332387979278
L7S2,644,0.000100176833889387
L4D12,642,0.000099865725709607
L3D3L8,642,0.000099865725709607
L7D4S1,640,0.000099554617529826
L5D4S1,638,0.000099243509350045
D4L9,637,0.000099087955260155
L1D4L1D4,633,0.000098465738900593
L10D5,630,0.000097999076630922
L6S1D2,629,0.000097843522541032
S1D6S1,627,0.000097532414361251
D4S1D4,626,0.000097376860271361
D4L2D2,626,0.000097376860271361
L2D3L4,623,0.000096910198001690
D6L10,617,0.000095976873462348
L6D1L2,615,0.000095665765282567
S1D7,615,0.000095665765282567
D8L8,605,0.000094110224383664
L7S1D6,603,0.000093799116203883
D2L4D2,603,0.000093799116203883
D2L1D2L1D2L1,592,0.000092088021215089
D1L9,589,0.000091621358945418
L3D8S1,588,0.000091465804855528
D3L3D3L3,588,0.000091465804855528
L7S1L3,587,0.000091310250765637
D4L3D3,586,0.000091154696675747
L5D3L2,582,0.000090532480316185
D9L5,579,0.000090065818046514
D8S2,574,0.000089288047597063
L5D1L4,573,0.000089132493507172
D9S2,571,0.000088821385327392
D7S1L3,567,0.000088199168967830
L2D6L3,560,0.000087110290338598
L5D2L1,555,0.000086332519889146
L6S1D1,554,0.000086176965799256
D12L2,553,0.000086021411709365
L5S1D2,552,0.000085865857619475
D7L9,549,0.000085399195349804
L4D3,546,0.000084932533080133
L5S1L4,545,0.000084776978990242
L2D1L6,536,0.000083376992181229
D3L3D2,533,0.000082910329911558
L9S1D4,529,0.000082288113551997
L9D8,526,0.000081821451282326
L3D4S2,525,0.000081665897192435
L6D1L3,524,0.000081510343102545
L7S1D2,521,0.000081043680832874
L2D6L1,516,0.000080265910383422
L3D1L5,516,0.000080265910383422
D4L1D3,514,0.000079954802203641
L2S1D8,513,0.000079799248113751
L3D6L1,510,0.000079332585844080
D11L5,508,0.000079021477664299
L7D1L1,503,0.000078243707214848
L6D2L1,501,0.000077932599035067
L13D2,500,0.000077777044945177
D6L3S1,499,0.000077621490855286
D5L6,499,0.000077621490855286
L2D7S1,494,0.000076843720405834
D4L10,493,0.000076688166315944
L5D2L2,492,0.000076532612226054
L2D4L8,490,0.000076221504046273
L14D2,489,0.000076065949956383
L3D13,489,0.000076065949956383
L9S1D3,488,0.000075910395866492
D4S1L3,486,0.000075599287686712
D6S1L1,485,0.000075443733596821
L4,483,0.000075132625417041
D9L6,483,0.000075132625417041
L1D1L1D1L1D1L1D1L1D1L1D1,481,0.000074821517237260
L11D5,479,0.000074510409057479
L7D1L2,478,0.000074354854967589
L8D4S1,478,0.000074354854967589
L10D7,473,0.000073577084518137
D4L4D4,466,0.000072488205888905
L5S1L2,466,0.000072488205888905
L3D2L3D2,466,0.000072488205888905
L4D6S1,466,0.000072488205888905
L7S3,462,0.000071865989529343
D6L1S1,461,0.000071710435439453
D3,458,0.000071243773169782
L8D3S1,457,0.000071088219079891
L4D4L1,457,0.000071088219079891
D2L3D4,456,0.000070932664990001
L7S1D1,456,0.000070932664990001
L2D4S2,452,0.000070310448630440
L6S3,451,0.000070154894540549
L10S1,450,0.000069999340450659
D2L2D2L2,444,0.000069066015911317
L5D1L1D1,444,0.000069066015911317
L4D6L4,440,0.000068443799551755
L6S1L4,438,0.000068132691371975
L5D2L3,434,0.000067510475012413
D4L2D3,432,0.000067199366832633
L4D2L4D2,431,0.000067043812742742
L4D1L5,428,0.000066577150473071
L4S1D7,428,0.000066577150473071
D6L1D1,427,0.000066421596383181
L6D2L2,424,0.000065954934113510
L3S1D5,420,0.000065332717753948
L5D3L3,420,0.000065332717753948
L1D11L1,419,0.000065177163664058
L6D3L1,418,0.000065021609574168
D3L10,415,0.000064554947304497
D9S1L2S1L3,410,0.000063777176855045
D6L2S1,408,0.000063466068675264
L6S1L2,407,0.000063310514585374
L5D3L1,405,0.000062999406405593
L2D8S1,404,0.000062843852315703
L6D1S1,398,0.000061910527776361
L1D7L2,397,0.000061754973686470
D6L3D3,396,0.000061599419596580
L19,395,0.000061443865506689
L8D1L1,393,0.000061132757326909
L4D3S2,392,0.000060977203237018
L2D7L1,391,0.000060821649147128
D7L1D1,390,0.000060666095057238
L3,386,0.000060043878697676
L2D9L2,386,0.000060043878697676
L3D1L6,386,0.000060043878697676
D7S1L2,385,0.000059888324607786
D4L3D2,385,0.000059888324607786
L1D2L5,384,0.000059732770517896
L1S1D6,384,0.000059732770517896
D3L3S3,382,0.000059421662338115
S2D6,380,0.000059110554158334
L4D6L3,380,0.000059110554158334
L3D7L2,379,0.000058955000068444
L5D4L2,376,0.000058488337798773
D6S1D1,375,0.000058332783708882
L3D6S2,374,0.000058177229618992
L8S1D6,372,0.000057866121439211
L1D7S1,371,0.000057710567349321
L10S1D4,368,0.000057243905079650
L4S1L5,368,0.000057243905079650
L6D6S1,368,0.000057243905079650
L13D1,367,0.000057088350989760
D1L1D1L1D1L1D1L1D1L1D1L1,366,0.000056932796899869
L5D6S1,363,0.000056466134630198
D6S1L4,361,0.000056155026450417
D3L2D4,360,0.000055999472360527
L4D2L2D1,359,0.000055843918270637
D4L11,359,0.000055843918270637
D6S1D3,355,0.000055221701911075
D1S1D9,351,0.000054599485551514
L3D6L4,350,0.000054443931461624
L6D3L3,350,0.000054443931461624
L5D4L3,349,0.000054288377371733
D4S4,348,0.000054132823281843
L2D1L2D1L2D1,346,0.000053821715102062
D8S1L3,342,0.000053199498742501
L10S1D3,340,0.000052888390562720
D7S1D1,339,0.000052732836472830
L2D14,339,0.000052732836472830
L4D1L2D1,338,0.000052577282382939
L7S1L4,337,0.000052421728293049
S1D8,333,0.000051799511933488
D2L9,331,0.000051488403753707
L6D4L2,330,0.000051332849663817
L1D4L3,329,0.000051177295573926
L10D8,328,0.000051021741484036
L3D8L2,327,0.000050866187394145
L5S1L5,326,0.000050710633304255
L1D5L2,326,0.000050710633304255
L3S1L5,325,0.000050555079214365
D12L1,325,0.000050555079214365
L2S1D5,325,0.000050555079214365
L5D4L1,324,0.000050399525124474
D1S1D6,318,0.000049466200585132
L9D3S1,317,0.000049310646495242
D1L3S1L3,316,0.000049155092405352
D3L11,314,0.000048843984225571
L7D1S1,314,0.000048843984225571
D9L7,314,0.000048843984225571
L3D5L3,313,0.000048688430135680
L12D6,313,0.000048688430135680
L2D2L5,313,0.000048688430135680
D12L4,312,0.000048532876045790
D8L1S2,312,0.000048532876045790
L8S1D1,312,0.000048532876045790
L3D9L3,312,0.000048532876045790
L2D1L7,309,0.000048066213776119
S9,309,0.000048066213776119
L2D6S2,309,0.000048066213776119
L5D2S1,308,0.000047910659686229
L6D3L2,308,0.000047910659686229
L5S1D7,303,0.000047132889236777
L4D3L8,303,0.000047132889236777
L7S1L2,302,0.000046977335146887
L3S1D3S1L3,300,0.000046666226967106
L1D1L7,300,0.000046666226967106
L2D1L2D1L2,299,0.000046510672877216
L11S1,298,0.000046355118787325
D10L5,297,0.000046199564697435
D6L1D3,297,0.000046199564697435
L2D13,294,0.000045732902427764
L6S1D7,293,0.000045577348337873
L2D7L3,293,0.000045577348337873
L4S1D8,292,0.000045421794247983
D2L3D3,292,0.000045421794247983
L8D2S1,292,0.000045421794247983
L9D4S1,292,0.000045421794247983
S1D7S1,292,0.000045421794247983
L3D4L5,291,0.000045266240158093
L1D6L3,290,0.000045110686068202
L6D2S1,289,0.000044955131978312
L4D4S2,288,0.000044799577888422
L8S1D2,288,0.000044799577888422
L13D4,288,0.000044799577888422
D3L1D4,286,0.000044488469708641
L6S1D8,285,0.000044332915618751
L8D9,285,0.000044332915618751
D10L6,285,0.000044332915618751
D6S1D6,284,0.000044177361528860
D1L3D1L3D1L3,284,0.000044177361528860
L4D1L4D1,284,0.000044177361528860
D7L3S1,283,0.000044021807438970
D6L2D3,282,0.000043866253349080
L4D6L2,282,0.000043866253349080
L5D3L4,282,0.000043866253349080
L3D2L5,282,0.000043866253349080
S1,281,0.000043710699259189
L6D4L3,280,0.000043555145169299
L2D1L4D1,280,0.000043555145169299
L6D1L4,278,0.000043244036989518
L6D11,277,0.000043088482899628
L3S1D9,277,0.000043088482899628
D4S1L4,276,0.000042932928809737
L1D1L1D1L1D3,276,0.000042932928809737
L3S1L6,276,0.000042932928809737
L3D3L5,275,0.000042777374719847
D4L3D1,275,0.000042777374719847
L8S1L3,274,0.000042621820629957
D4S1D2S1D2,273,0.000042466266540066
L2D6L4,272,0.000042310712450176
L3D4S3,270,0.000041999604270395
L5S3,266,0.000041377387910834
D6L2D2,264,0.000041066279731053
L1D1L1D1L1D4,264,0.000041066279731053
L5D1L5D1,263,0.000040910725641163
L3S2D3,262,0.000040755171551272
L15D1,262,0.000040755171551272
L2S1L5,262,0.000040755171551272
D6S4,262,0.000040755171551272
L4D3L3D3,261,0.000040599617461382
L2D5L1,259,0.000040288509281601
L4D7S1,259,0.000040288509281601
D5L7,259,0.000040288509281601
L1D3L4,259,0.000040288509281601
L3S1D11,257,0.000039977401101821
L1D1L1D1L1D1L2,257,0.000039977401101821
L5D4L4,257,0.000039977401101821
L7D2S1,256,0.000039821847011930
D4L3S1,254,0.000039510738832150
D2L5D2,253,0.000039355184742259
D1L1D6,253,0.000039355184742259
L3D5L2,252,0.000039199630652369
L4D2,252,0.000039199630652369
D6L2D1,252,0.000039199630652369
D1L2D1L2D1L2,250,0.000038888522472588
L2D2L6,249,0.000038732968382698
L2D3L5,249,0.000038732968382698
D6L3D4,249,0.000038732968382698
L3D9S1,249,0.000038732968382698
L3D11S1,249,0.000038732968382698
D3S1D3S1,248,0.000038577414292808
L2D9S1,247,0.000038421860202917
L8S2,247,0.000038421860202917
D1L1D1L1D1L1D2,247,0.000038421860202917
L2D11L2,247,0.000038421860202917
D4S1D3,247,0.000038421860202917
D2L10,247,0.000038421860202917
S1D9,246,0.000038266306113027
D2L1D2L1D2,246,0.000038266306113027
L10D3S1,245,0.000038110752023136
S1L7,244,0.000037955197933246
D17,243,0.000037799643843356
L7D6S1,243,0.000037799643843356
D7L2S1,243,0.000037799643843356
L7S1D3S1L3,241,0.000037488535663575
L1D10L1,239,0.000037177427483794
L7D3L2,239,0.000037177427483794
S10,238,0.000037021873393904
D8S3,238,0.000037021873393904
L4D3S3,237,0.000036866319304014
L6S1D3S1L3,237,0.000036866319304014
L14D1,236,0.000036710765214123
L3S3D3,236,0.000036710765214123
D8S1L2,234,0.000036399657034343
L9S2,233,0.000036244102944452
D3L3S2,232,0.000036088548854562
L1D2L1D4,232,0.000036088548854562
D7S1L1,231,0.000035932994764672
L8D1S1,231,0.000035932994764672
D2L6D2,231,0.000035932994764672
L4S1L6,230,0.000035777440674781
L6D4S2,230,0.000035777440674781
L11S1D4,229,0.000035621886584891
L7D2L1,228,0.000035466332495000
D6L3D6,228,0.000035466332495000
L5D2,227,0.000035310778405110
L6S1L6,226,0.000035155224315220
D9S3,226,0.000035155224315220
D7S1D3,226,0.000035155224315220
D3S1D4,225,0.000034999670225329
D8L3S1,225,0.000034999670225329
L2D5S1,223,0.000034688562045549
L4D1L1D1L1,221,0.000034377453865768
L3D5S1,221,0.000034377453865768
L4S4,220,0.000034221899775878
L12S1,220,0.000034221899775878
L2D8L3,220,0.000034221899775878
L7D3L3,220,0.000034221899775878
L4D2S2,219,0.000034066345685987
D4L1D4L1,217,0.000033755237506207
L1D1L1D1L4,217,0.000033755237506207
D11S2,217,0.000033755237506207
L1D6,217,0.000033755237506207
D2L4D4,216,0.000033599683416316
L1D3L1D3L1,216,0.000033599683416316
L4D3L5,215,0.000033444129326426
L7S1D8,215,0.000033444129326426
D7L1S1,215,0.000033444129326426
L1D1L8,215,0.000033444129326426
L8S3,214,0.000033288575236536
L1D1L1D5,213,0.000033133021146645
S1L3D1L3,212,0.000032977467056755
D1L7D1,212,0.000032977467056755
L7S1D7,210,0.000032666358876974
D6S1D2,210,0.000032666358876974
L1D8S1,209,0.000032510804787084
D1L3D4,209,0.000032510804787084
L1D6L1D6,209,0.000032510804787084
D3L5D3,208,0.000032355250697193
L3D5L1,208,0.000032355250697193
L6D7S1,208,0.000032355250697193
D4L2D4L2,207,0.000032199696607303
L1D1L3D1L2,207,0.000032199696607303
D3L4D4,206,0.000032044142517413
S3D6,205,0.000031888588427522
D3L6D3,205,0.000031888588427522
L3D3L6,205,0.000031888588427522
L2D5L3,204,0.000031733034337632
L6S1L5,203,0.000031577480247742
L3D3L4D3,202,0.000031421926157851
L3S2D4,202,0.000031421926157851
L11S1D3,201,0.000031266372067961
L2S1L6,200,0.000031110817978071
L5S1D8,200,0.000031110817978071
L11D7,199,0.000030955263888180
L7D1L3,198,0.000030799709798290
L1D1L1D1L1D1L3,198,0.000030799709798290
L5D1L5,198,0.000030799709798290
L4D1L1D2,198,0.000030799709798290
L1D1L2D1L3,197,0.000030644155708400
L2D4L5,197,0.000030644155708400
L3D7L1,197,0.000030644155708400
D6L4S1,196,0.000030488601618509
L1D9S1,195,0.000030333047528619
L3S1L3D4,195,0.000030333047528619
D7L3D3,195,0.000030333047528619
L4D8S1,194,0.000030177493438728
L7D4L2,193,0.000030021939348838
L3D3S1L3,193,0.000030021939348838
L6D3S2,192,0.000029866385258948
L4D2L8,192,0.000029866385258948
L9D9,191,0.000029710831169057
S1L6S1,191,0.000029710831169057
L10D4S1,191,0.000029710831169057
S1L3D4,190,0.000029555277079167
L3D1L4D1,190,0.000029555277079167
D10S2,189,0.000029399722989277
L1D1L1D1L1D1L1D1L1,188,0.000029244168899386
L2D1L2D4,188,0.000029244168899386
L3D4L6,186,0.000028933060719606
D2L11,186,0.000028933060719606
D6L2D4,185,0.000028777506629715
L4D8L4,185,0.000028777506629715
L6D4L4,185,0.000028777506629715
D7S1L4,185,0.000028777506629715
D4L3D4L3,185,0.000028777506629715
L5D6L3,184,0.000028621952539825
D3L2D3L2,184,0.000028621952539825
L10S2,183,0.000028466398449935
L1D13,183,0.000028466398449935
S2D7,183,0.000028466398449935
D2S1D2S1D2,182,0.000028310844360044
L3D1L1D3,182,0.000028310844360044
L3D7S2,182,0.000028310844360044
L3D7L4,182,0.000028310844360044
L2D8L1,181,0.000028155290270154
D4S1D7,181,0.000028155290270154
L2D1L3D1L1,181,0.000028155290270154
L2D2L2D3,181,0.000028155290270154
L9S1D6,180,0.000027999736180264
L7D3L1,179,0.000027844182090373
L5D2L4,179,0.000027844182090373
D3S1L4,178,0.000027688628000483
L8S1L4,178,0.000027688628000483
L3D6S3,178,0.000027688628000483
L2D1L3D2,178,0.000027688628000483
L2D1L1D4,178,0.000027688628000483
L3D2L1D4,177,0.000027533073910592
L1D14,177,0.000027533073910592
L4S1D5,176,0.000027377519820702
D6L1D2,175,0.000027221965730812
L5D2L5D2,175,0.000027221965730812
L4D7L3,174,0.000027066411640921
L2S1D9,174,0.000027066411640921
L3D2L2D2,173,0.000026910857551031
L5D3S2,173,0.000026910857551031
L6D8S1,173,0.000026910857551031
D1L10,172,0.000026755303461141
L8D6S1,172,0.000026755303461141
L2D1L1D1L3,171,0.000026599749371250
L4D7L4,171,0.000026599749371250
L3D1L1D1L2,171,0.000026599749371250
L3S1L4S1L3,171,0.000026599749371250
D7S4,171,0.000026599749371250
L1D5L1D5,170,0.000026444195281360
L6D1L1D1,170,0.000026444195281360
L7D2L2,169,0.000026288641191470
L1D1L5D1,169,0.000026288641191470
L5S1L6,169,0.000026288641191470
D9S1L3,168,0.000026133087101579
D1S1D1S1D1S1D1S1,168,0.000026133087101579
L5D7S1,168,0.000026133087101579
L3S1L7,168,0.000026133087101579
L4D1L3D1,168,0.000026133087101579
L3D1L2D1L1,167,0.000025977533011689
D7L2D3,167,0.000025977533011689
D4L12,166,0.000025821978921799
D1L8D1,165,0.000025666424831908
L1D3L1D3L1D3,165,0.000025666424831908
D1L1D1L5,164,0.000025510870742018
L7D11,164,0.000025510870742018
L7D4L3,163,0.000025355316652128
D6L2D6,163,0.000025355316652128
L3D1L3D4,163,0.000025355316652128
L6D4L1,163,0.000025355316652128
L4D4L5,163,0.000025355316652128
L5D6L2,163,0.000025355316652128
L3S1L3D3,162,0.000025199762562237
L2D2L3D2,162,0.000025199762562237
L3D1L2D2,162,0.000025199762562237
L5D3L5,162,0.000025199762562237
D8L2S1,162,0.000025199762562237
L1S1D7,161,0.000025044208472347
L14D3,161,0.000025044208472347
L11D4S1,161,0.000025044208472347
D6S1L5,161,0.000025044208472347
L2S2D4,160,0.000024888654382456
L9S1D2,160,0.000024888654382456
D14L2,160,0.000024888654382456
L5D1L2D1,160,0.000024888654382456
L2D10L2,160,0.000024888654382456
L2S1D11,160,0.000024888654382456
L1D8L2,160,0.000024888654382456
L6S4,160,0.000024888654382456
L2D5,159,0.000024733100292566
D3S1D3S1D3,158,0.000024577546202676
L5S1D5,157,0.000024421992112785
D2L1D5,157,0.000024421992112785
L2D11S1,156,0.000024266438022895
L4S1L7,156,0.000024266438022895
L5D4L5,156,0.000024266438022895
L7D10,156,0.000024266438022895
L9S1D1,156,0.000024266438022895
D4L4S1,156,0.000024266438022895
L1,156,0.000024266438022895
L11D8,156,0.000024266438022895
L5D2L8,156,0.000024266438022895
L3D11L2,155,0.000024110883933005
D3L12,155,0.000024110883933005
D4L4D2,155,0.000024110883933005
L12S1D3,155,0.000024110883933005
D10S1L2S1L3,154,0.000023955329843114
L4D8L3,154,0.000023955329843114
L3D8S2,154,0.000023955329843114
L6D2L3,154,0.000023955329843114
D5L1D2,153,0.000023799775753224
L8D3L3,153,0.000023799775753224
