structure,freq,,nums
L4D1,0.000363844,,165
L3D2L4,0.000359434,,163
L1D1L5D1,0.000357229,,162
L8S1,0.000352818,,160
L1D4L1,0.000350613,,159
D1L8D1,0.000350613,,159
L4D2L3,0.000350613,,159
L3D1L1D1L2,0.000341793,,155
L4D8,0.000339588,,154
L1D1L1D1L4,0.000339588,,154
D2L3D2,0.000337383,,153
L5S1D2,0.000337383,,153
D8L2,0.000335178,,152
L6S1D1,0.000335178,,152
L4D1L1D1L1,0.000332972,,151
D5L1,0.000330767,,150
D1L1D1L5,0.000328562,,149
L3D4L1,0.000326357,,148
L17,0.000324152,,147
L7D1L1,0.000317537,,144
L10D4,0.000317537,,144
L6D1L3,0.000313126,,142
D7L2,0.000313126,,142
L16,0.000313126,,142
D1L10,0.000313126,,142
D1L4D1,0.000308716,,140
D1L5D1L1,0.000306511,,139
L4D7,0.000297691,,135
L2D1L1D1L3,0.000295485,,134
L2D2L3,0.00028887,,131
L6D1S1,0.00028887,,131
L1D1L1D1L1D1L2,0.00028887,,131
L2D2L6,0.000286665,,130
L3D2L2,0.000286665,,130
L7D1L2,0.000286665,,130
L4D1L2D1,0.000286665,,130
L1D2L3D2,0.00028446,,129
D5L2,0.00028446,,129
L1D1L2D1L1,0.000282255,,128
L5D1L5,0.000282255,,128
L2D1L2D1L2,0.00028005,,127
D1L11,0.000275639,,125
L7S1D2,0.000271229,,123
L1D1L7,0.000271229,,123
L1D9,0.000269024,,122
L7D1S1,0.000266819,,121
L2D1L6,0.000264614,,120
D6L6,0.000264614,,120
L9S1,0.000264614,,120
D1L5D2,0.000262409,,119
D3L9,0.000262409,,119
L7S1D1,0.000262409,,119
D3L8,0.000260204,,118
L1D1L4D1L1,0.000253588,,115
L3D4L3,0.000246973,,112
D2L9,0.000240358,,109
L12D2,0.000233742,,106
L8D1L1,0.000233742,,106
L12D1,0.000233742,,106
L4S1D4,0.000233742,,106
L2D1L2D1,0.000233742,,106
L6D1L4,0.000233742,,106
L3S1D4,0.000229332,,104
L3D2,0.000229332,,104
L2D1L4D1,0.000229332,,104
D1,0.000227127,,103
L7D1L4,0.000224922,,102
D1L1D1L1D1L1,0.000222717,,101
L1D2L3,0.000216101,,98
D7L3,0.000216101,,98
L8S1D1,0.000216101,,98
L1D2L1D2,0.000216101,,98
L3D1L1D1L1D1,0.000213896,,97
L5D2L3,0.000213896,,97
L2D3L3,0.000213896,,97
L2D9,0.000211691,,96
L8D1S1,0.000211691,,96
L1D1L1D1L3D1,0.000207281,,94
L8S1D2,0.000207281,,94
L4D1L2S1L2,0.000207281,,94
L4D2L1,0.000207281,,94
L3D2L1,0.000205076,,93
L7D2S1,0.000202871,,92
D1L4D1L2,0.000200666,,91
D2L2D2,0.000200666,,91
L5S1D4,0.000200666,,91
D6L5,0.00019846,,90
L5D2S1,0.00019846,,90
L1D1L3D1L1D1,0.000196255,,89
L2D1L7,0.00019405,,88
L2D3L2,0.00019405,,88
L1D1L2D1L3,0.000191845,,87
L5D2L2,0.000187435,,85
D8L4,0.000187435,,85
L1D1L8,0.00018523,,84
L6D2L4,0.00018523,,84
L2D1L1D1L1D1L1,0.00018523,,84
L4D3L1,0.000178614,,81
D2L8D2,0.000178614,,81
D1L1D1L1D1L3,0.000176409,,80
L6D1L5,0.000176409,,80
L4D4L4,0.000174204,,79
D9L1,0.000174204,,79
D2L7D2,0.000174204,,79
L5D2L5,0.000174204,,79
L4D2L6,0.000171999,,78
L3D1L2D1L1,0.000169794,,77
D1L1D1L3D1L1,0.000169794,,77
L4D3L4D1,0.000169794,,77
L1D1L1D1L1D1L1D1L1D1,0.000167589,,76
D2L3D4,0.000167589,,76
L1D1L4D2,0.000167589,,76
L4S1D3,0.000167589,,76
D1L2D1L4,0.000165384,,75
L5S1D3,0.000165384,,75
L5S1,0.000165384,,75
L3D2L5,0.000165384,,75
D8L3,0.000163179,,74
L6S1D4,0.000163179,,74
L1D7L1,0.000163179,,74
D1L3D1L1D1L1,0.000163179,,74
L1D1L1D1L1D1L1D1L1D1L1D1,0.000160973,,73
L1D2L1D2L1D2,0.000160973,,73
L3D1L6,0.000160973,,73
L4D1L6,0.000160973,,73
L3D4S1,0.000158768,,72
L3D2L3D2,0.000158768,,72
L6S1D3,0.000158768,,72
L2D1L3D2,0.000156563,,71
L4D1L4D1,0.000154358,,70
L9S1D2,0.000152153,,69
L3D9,0.000152153,,69
L1D2L4,0.000152153,,69
L5D2L4,0.000149948,,68
L3D3L1,0.000149948,,68
L1D1L2D1L2,0.000149948,,68
L2D2L1D1L2,0.000149948,,68
L11D3,0.000147743,,67
L4D1L1D2,0.000147743,,67
L7D2L1,0.000147743,,67
D10L2,0.000147743,,67
D1L9D1,0.000145538,,66
L1D2L6,0.000145538,,66
L7D6,0.000145538,,66
L4D4S1,0.000141127,,64
D3L3D3,0.000141127,,64
L1D1L3D1,0.000141127,,64
L2D3,0.000141127,,64
L5D1L6,0.000141127,,64
D1L6D2,0.000141127,,64
L13D2,0.000141127,,64
L8D2S1,0.000136717,,62
L4D3L4D3,0.000136717,,62
L2,0.000136717,,62
L2D3L1,0.000134512,,61
L2D1L1D1L1,0.000134512,,61
L3D4L2,0.000134512,,61
L4D1L1D1,0.000134512,,61
L11D4,0.000132307,,60
L3D1L1D1,0.000132307,,60
L3D3L3D3,0.000130102,,59
L4D1L3D1,0.000130102,,59
L20,0.000130102,,59
D1L3D4,0.000127897,,58
L13D1,0.000127897,,58
L5D3S1,0.000125692,,57
L4D1L7,0.000125692,,57
D1L10D1,0.000125692,,57
L2D2L5,0.000123486,,56
L7D2L3,0.000121281,,55
L3D2L2D1,0.000119076,,54
D7L5,0.000119076,,54
L8D1L3,0.000119076,,54
D5S1L1,0.000119076,,54
L6D2L2,0.000116871,,53
L8S1D3,0.000116871,,53
L1D3L4,0.000116871,,53
L8D1L2,0.000114666,,52
L3S1L3,0.000114666,,52
L6D2S2,0.000114666,,52
L3D1L2D2,0.000114666,,52
L7D1L3,0.000114666,,52
L3D3L4,0.000112461,,51
L4D2L5,0.000112461,,51
L6S2,0.000112461,,51
L2D1L2D1L1,0.000112461,,51
L6D1L1D1,0.000110256,,50
L9D1L2,0.000110256,,50
L9S1D1,0.000110256,,50
L6D2L3,0.000108051,,49
L1D1L2D1L1D1L1,0.000108051,,49
L1D1L1D1L2,0.000108051,,49
L4D3L2,0.000108051,,49
L4S1L4,0.000108051,,49
L5D4S1,0.000105846,,48
L5S1D1,0.000105846,,48
L7S1D4,0.000105846,,48
D5L7,0.000105846,,48
L7S1D3,0.00010364,,47
L4D3L4,0.00010364,,47
L3D1L4D1,0.00010364,,47
L5D3L4,0.00010364,,47
D9L3,0.00010364,,47
D3L5D2,0.00010364,,47
D2L2D2L2,0.00010364,,47
D1L4D1L4,0.000101435,,46
D2L2D4,0.000101435,,46
D5L1D1L1,9.92302E-05,,45
L8D2L2,9.92302E-05,,45
L5D1L5D1,9.92302E-05,,45
L1D1L1D1L1D1L1,9.92302E-05,,45
L2D4L1,9.92302E-05,,45
L1D3L1D3,9.92302E-05,,45
L1D1L1D1L1D1L1D1L1,9.70251E-05,,44
L8D5,9.70251E-05,,44
D1L3D2,9.70251E-05,,44
L6D3S1,9.70251E-05,,44
L2D6L2,9.482E-05,,43
L4S1L3,9.482E-05,,43
L7D2L2,9.482E-05,,43
L1D3L2,9.482E-05,,43
D1L7D2,9.26148E-05,,42
D3,9.26148E-05,,42
L2D4L3,9.26148E-05,,42
L1D1L6D1,9.26148E-05,,42
L2D1L3D1,9.26148E-05,,42
D1L4D1L1,9.26148E-05,,42
L4D3L3,9.26148E-05,,42
D1L4D2,9.26148E-05,,42
L8D6,9.26148E-05,,42
L3D3L4D2,9.04097E-05,,41
L6D4S1,9.04097E-05,,41
L2D10,9.04097E-05,,41
L10D1L1,9.04097E-05,,41
L1D1L2D1L2D1,9.04097E-05,,41
L1D1L2D2,9.04097E-05,,41
L1D1L1D2L1D2,9.04097E-05,,41
L1D4L3,8.82046E-05,,40
L4S1D2,8.59995E-05,,39
D5L6,8.59995E-05,,39
L12D3,8.59995E-05,,39
L1D8L1,8.59995E-05,,39
D7L4,8.59995E-05,,39
L1D1L3D1L1,8.37944E-05,,38
D4L2D2,8.37944E-05,,38
L1D5L1,8.37944E-05,,38
L5D3L1,8.37944E-05,,38
L5D1L2D1,8.37944E-05,,38
L3D2L7,8.37944E-05,,38
L3S1L4,8.37944E-05,,38
L2D2L3D1,8.37944E-05,,38
L5D3L2,8.37944E-05,,38
L1S1L3D1L2,8.15893E-05,,37
L6D3L3,8.15893E-05,,37
L1D2L2D1L2,8.15893E-05,,37
L4D2L4D2,8.15893E-05,,37
D1L3D1L1,8.15893E-05,,37
D3L2D3,8.15893E-05,,37
L2D1L2D1L2D1,7.93842E-05,,36
L6D4L2,7.93842E-05,,36
L6D3L1,7.93842E-05,,36
L3D1,7.93842E-05,,36
L1D1L4D1,7.93842E-05,,36
D1L2D1L2,7.93842E-05,,36
L3D2L6,7.7179E-05,,35
L18,7.7179E-05,,35
L1D3L3,7.7179E-05,,35
L2D2,7.49739E-05,,34
L1D2L2D2L1,7.49739E-05,,34
D1L1D1L1D1L1D1L1D1L1,7.49739E-05,,34
L4D3S1,7.49739E-05,,34
D4L3D2,7.49739E-05,,34
L4D2L1D1,7.49739E-05,,34
D9L2,7.49739E-05,,34
D2L1D2L1,7.49739E-05,,34
L9D2S1,7.49739E-05,,34
L4D4L2,7.49739E-05,,34
D4L3D1,7.27688E-05,,33
L4D4L1,7.27688E-05,,33
D3L5D3,7.27688E-05,,33
L1D1L3D2,7.27688E-05,,33
L1D2L7,7.27688E-05,,33
L2D1L9,7.27688E-05,,33
L2D3L4,7.27688E-05,,33
L10S1D1,7.27688E-05,,33
L2D1L1D1L2,7.05637E-05,,32
L1D1L1D1L2D1L1,7.05637E-05,,32
L14D1,7.05637E-05,,32
S1L6S1,7.05637E-05,,32
D1L1D1L1D1L1D1,7.05637E-05,,32
L7D2S2,7.05637E-05,,32
D2L5D1,7.05637E-05,,32
L9D5,7.05637E-05,,32
L9D1L1,7.05637E-05,,32
L5S3,7.05637E-05,,32
L1D1L1D1L1D2L1,7.05637E-05,,32
L5D4L3,6.83586E-05,,31
L3D1L7,6.83586E-05,,31
L7D4S1,6.83586E-05,,31
L8D3S1,6.83586E-05,,31
L4D1L5D1,6.83586E-05,,31
L9D1S1,6.83586E-05,,31
L2D1L4D2,6.83586E-05,,31
L7D3S1,6.83586E-05,,31
L4S1L5,6.83586E-05,,31
L1D1L1D1L3,6.83586E-05,,31
D1L3D3,6.61535E-05,,30
L2D1L2D2,6.61535E-05,,30
L12D4,6.61535E-05,,30
L11S1,6.61535E-05,,30
L3D1L1D2,6.61535E-05,,30
L1D1L3D3,6.61535E-05,,30
D2L3D1,6.61535E-05,,30
L3D4L4,6.39483E-05,,29
L5S1L5,6.39483E-05,,29
D2L3D3,6.39483E-05,,29
L3D1L2D1,6.39483E-05,,29
D1L6S1,6.39483E-05,,29
L1D2L1D4,6.39483E-05,,29
L7S2,6.39483E-05,,29
L2D1L2,6.39483E-05,,29
D3L3D2,6.39483E-05,,29
L1D1L1D5,6.39483E-05,,29
L3S1D3,6.39483E-05,,29
L1D2L3D1L1,6.39483E-05,,29
L3S1D2,6.39483E-05,,29
L1D1L1D1L1D3,6.17432E-05,,28
L2D1L2D1L1D1,6.17432E-05,,28
L2D2L3D2,6.17432E-05,,28
D4L4D4,6.17432E-05,,28
L10S1,6.17432E-05,,28
D1L9D2,6.17432E-05,,28
L4D3L3D3,6.17432E-05,,28
L4D2S2,6.17432E-05,,28
L1D2L2D1,6.17432E-05,,28
D4L1D3,6.17432E-05,,28
D1L3D1L4,6.17432E-05,,28
L1D1L1D2L3,5.95381E-05,,27
L4D2S1,5.95381E-05,,27
L2D1L2D2L1,5.95381E-05,,27
L1D1L2D1L1D2,5.95381E-05,,27
L2D1L5D1,5.95381E-05,,27
L8D2S2,5.95381E-05,,27
L19,5.95381E-05,,27
D1L4D3,5.95381E-05,,27
D2L4D4,5.95381E-05,,27
L9D2L1,5.95381E-05,,27
L3D2L1D2,5.95381E-05,,27
L2D1L4D1L2,5.95381E-05,,27
L1D1L4D1L2,5.95381E-05,,27
L2D1L2D3,5.95381E-05,,27
D4L2D4,5.95381E-05,,27
D1L1D1L1D1L1D1L1D1L1D1L1,5.95381E-05,,27
L3S1L6,5.7333E-05,,26
L1D1L9,5.7333E-05,,26
L6D8,5.7333E-05,,26
L10D1S1,5.7333E-05,,26
D1L3D1L2D1,5.7333E-05,,26
L1D4L2,5.7333E-05,,26
L3D1L1D2L1,5.7333E-05,,26
L2D4L4,5.7333E-05,,26
L3D1L3D2,5.7333E-05,,26
D3L6D3,5.51279E-05,,25
L7D4L1,5.51279E-05,,25
D1L6D1L4,5.51279E-05,,25
L5D4L1,5.51279E-05,,25
L4D3L3D2,5.51279E-05,,25
D1L5D3,5.51279E-05,,25
L5D1S1,5.51279E-05,,25
L2D1L8,5.51279E-05,,25
L1D1L1D3,5.51279E-05,,25
D1L3D1L2,5.51279E-05,,25
D1L2D3L1D1,5.51279E-05,,25
L4S1L2,5.51279E-05,,25
L1D2L4D1,5.29228E-05,,24
D1L1D1L3,5.29228E-05,,24
L4D4L3,5.29228E-05,,24
L13D3,5.29228E-05,,24
L5S1L4,5.29228E-05,,24
L2D6L1,5.29228E-05,,24
L5S1L6,5.29228E-05,,24
S1L6D2,5.29228E-05,,24
L4D3L5,5.29228E-05,,24
L7D3L2,5.29228E-05,,24
S1L8S1,5.29228E-05,,24
L2S1L5,5.29228E-05,,24
L5S1L3,5.29228E-05,,24
L14D2,5.29228E-05,,24
L5D1L1D2,5.29228E-05,,24
L2D1L1D1L2D1,5.29228E-05,,24
L1D1L1D1L1D2,5.29228E-05,,24
D1L5D1L2,5.07177E-05,,23
L7S1L4,5.07177E-05,,23
L2D5L1,5.07177E-05,,23
D1L6D1L1,5.07177E-05,,23
L1D1L3D2L1,5.07177E-05,,23
L5D8,4.85125E-05,,22
L3D1L1D1L1,4.85125E-05,,22
L1D10,4.85125E-05,,22
L1D2L1D1L1,4.85125E-05,,22
L3D3L4D3,4.85125E-05,,22
L1S1L4,4.85125E-05,,22
L4S1D1,4.85125E-05,,22
D3L4D3,4.85125E-05,,22
L2D1L3D1L2,4.85125E-05,,22
D1L2D1L3D1,4.85125E-05,,22
L1D1L10,4.85125E-05,,22
L2D1L1D2,4.85125E-05,,22
L3D3L6,4.85125E-05,,22
L2D2L1D1,4.85125E-05,,22
D2L2D1L3,4.85125E-05,,22
L6S3,4.85125E-05,,22
L1S1L4D2,4.85125E-05,,22
L1D1L2D1L1D1,4.85125E-05,,22
L2D2L1D4,4.85125E-05,,22
L1D1L2D2L1,4.85125E-05,,22
L9D6,4.85125E-05,,22
L1D1L1D1L2D2,4.85125E-05,,22
L6S1L5,4.85125E-05,,22
L3D1L1D3,4.85125E-05,,22
D1L5D1L3,4.85125E-05,,22
L3D1L8,4.63074E-05,,21
L2D3L5,4.63074E-05,,21
L3D3S1,4.63074E-05,,21
L2D5L2,4.63074E-05,,21
L6S2D2,4.63074E-05,,21
D1L4D4,4.63074E-05,,21
D4L3D4,4.63074E-05,,21
L7D1L1D1,4.63074E-05,,21
D1L5D4,4.63074E-05,,21
L1S1L6,4.63074E-05,,21
L2D1L3D4,4.63074E-05,,21
L3D1L5D1,4.63074E-05,,21
L1D1L2D4,4.63074E-05,,21
L8S1D4,4.63074E-05,,21
L2S1L3,4.63074E-05,,21
L1S1L5,4.63074E-05,,21
L2D2L1D3,4.41023E-05,,20
L3D1L2D1L2,4.41023E-05,,20
D3L3D4,4.41023E-05,,20
L1D1L2D2L2,4.41023E-05,,20
L4D1L2D2,4.41023E-05,,20
L1D1L5D1L1,4.41023E-05,,20
D1L4D1L3,4.41023E-05,,20
L3D2L2D2,4.41023E-05,,20
L3D1L2D1L3,4.41023E-05,,20
L3D1L3S1,4.41023E-05,,20
L4D1L2D1L1,4.41023E-05,,20
L5D1L3D1,4.41023E-05,,20
D1L8D2,4.41023E-05,,20
L8D3L1,4.18972E-05,,19
L8D2L1,4.18972E-05,,19
D2L3D1L2,4.18972E-05,,19
D5L2D1,4.18972E-05,,19
L2D2L1D2,4.18972E-05,,19
D4L9,4.18972E-05,,19
L8S2,4.18972E-05,,19
L3S1L5,4.18972E-05,,19
L1D5L2,4.18972E-05,,19
S1L8,4.18972E-05,,19
L2D2L2D1,4.18972E-05,,19
D1L12,4.18972E-05,,19
D2L1D2L1D2,4.18972E-05,,19
S1L6D1,4.18972E-05,,19
L1D1L1D2L1,4.18972E-05,,19
D3L1D3L1,4.18972E-05,,19
L5S1L2,4.18972E-05,,19
L2D1L6D1,4.18972E-05,,19
D2L6D4,4.18972E-05,,19
D3L2D1,4.18972E-05,,19
D2L7D1,4.18972E-05,,19
L2D2L2D1L1,4.18972E-05,,19
L4D4S2,4.18972E-05,,19
L6D3L2,4.18972E-05,,19
L1D1L2D1L2D1L2,3.96921E-05,,18
L1D2L1D2L2,3.96921E-05,,18
D2L9D1,3.96921E-05,,18
D1L4D1L5,3.96921E-05,,18
L1D1L3D1L3,3.96921E-05,,18
L6S1L3,3.96921E-05,,18
L1D1L2D1L4,3.96921E-05,,18
L5D2S2,3.96921E-05,,18
L4D2L3D2,3.96921E-05,,18
D2L2D1L1D1L1,3.96921E-05,,18
D1L1D1L2D1L2,3.96921E-05,,18
D2L6D1,3.96921E-05,,18
D10L1,3.96921E-05,,18
L4D1L4D3,3.96921E-05,,18
L1D1L1D1L2D1,3.96921E-05,,18
S1L7,3.96921E-05,,18
L1D2L1D1L3,3.7487E-05,,17
L1D4,3.7487E-05,,17
L3D2L1D1L1,3.7487E-05,,17
L5S2,3.7487E-05,,17
L1D3L1D1L2,3.7487E-05,,17
D3L2D2,3.7487E-05,,17
L1D1L1D1L5,3.7487E-05,,17
L1D1L5D2,3.7487E-05,,17
L1D4L1D4,3.7487E-05,,17
L2S1L4,3.7487E-05,,17
L4S1D1L2,3.7487E-05,,17
D1L5D1L5,3.7487E-05,,17
L1D2L1D2L1D1,3.7487E-05,,17
L3D1L4S1,3.7487E-05,,17
L2D1L1D2L2,3.7487E-05,,17
L2S1D4,3.52818E-05,,16
S1L5,3.52818E-05,,16
L5D3L3,3.52818E-05,,16
D3L4D1,3.52818E-05,,16
D1L2D1L2D1L1,3.52818E-05,,16
D1L4D1L1D1,3.52818E-05,,16
D4L1D1,3.52818E-05,,16
L2D1L2D1L3,3.52818E-05,,16
D3L1D3,3.52818E-05,,16
L3D4L5,3.52818E-05,,16
L1D3L5,3.52818E-05,,16
L6D7,3.52818E-05,,16
L6D1L2D1,3.52818E-05,,16
D2L1D1L4,3.52818E-05,,16
D3L5D1,3.52818E-05,,16
D4L1D4,3.52818E-05,,16
D2L1D2L1D2L1,3.52818E-05,,16
D2L3D2L3,3.52818E-05,,16
L2D2L2D2L2D2,3.52818E-05,,16
L3D1L1D1L3,3.52818E-05,,16
L2D1L1D1L4,3.52818E-05,,16
L5D4L2,3.30767E-05,,15
L7S1L3,3.30767E-05,,15
L4D1L6D1,3.30767E-05,,15
L2S1D6,3.30767E-05,,15
D1L6D4,3.30767E-05,,15
L3D1L3D1L1,3.30767E-05,,15
D14,3.30767E-05,,15
L1D1L2D1L2D1L1,3.30767E-05,,15
D3L2D4,3.30767E-05,,15
L6S1L4,3.30767E-05,,15
S1L7S1,3.30767E-05,,15
L3D3L5,3.30767E-05,,15
L1D3L6,3.30767E-05,,15
L1D1L2D2L1D1,3.30767E-05,,15
L1D2L1D1L1D2,3.30767E-05,,15
D1L7S1,3.30767E-05,,15
L6S1L1,3.30767E-05,,15
L3S1D5,3.30767E-05,,15
L4D1L3D2,3.30767E-05,,15
L1D2L1D2L1,3.30767E-05,,15
S1L5S1,3.30767E-05,,15
D1L8D3,3.30767E-05,,15
L5D1L1D1L1,3.30767E-05,,15
D1L3D1L3D1L3,3.30767E-05,,15
L2D1L4D1L1,3.30767E-05,,15
L4D1L1D4,3.30767E-05,,15
L2D2L1D2L1,3.30767E-05,,15
D4L4D1,3.30767E-05,,15
L2D1L1D4,3.30767E-05,,15
D2L11,3.30767E-05,,15
L5D1L2D2,3.30767E-05,,15
L2D2L7,3.08716E-05,,14
L2S1L3D2,3.08716E-05,,14
L3D6L3,3.08716E-05,,14
L2D1L5D2,3.08716E-05,,14
D1L13,3.08716E-05,,14
D1L2D2L1,3.08716E-05,,14
D2L2D3,3.08716E-05,,14
D1L1D6,3.08716E-05,,14
L1D11,3.08716E-05,,14
L9S2,3.08716E-05,,14
L3D2L1D1,3.08716E-05,,14
D3L10,3.08716E-05,,14
L5D1L4D2,3.08716E-05,,14
D2L4D1,3.08716E-05,,14
D1L2D1L2D1L2,3.08716E-05,,14
L15D1,3.08716E-05,,14
L1D2L2D3,3.08716E-05,,14
L2D3L2D1,3.08716E-05,,14
S1L8D2,3.08716E-05,,14
L3S1L3D1,3.08716E-05,,14
L1D1L1D1L1D1L3,3.08716E-05,,14
D4L6D2,3.08716E-05,,14
L1D1L1D2L2D1,3.08716E-05,,14
L1D1L6D1L1,3.08716E-05,,14
L2S1D5,3.08716E-05,,14
L6D3S3,3.08716E-05,,14
L1D1L4D1L3,3.08716E-05,,14
L1D1L4D3,3.08716E-05,,14
D1L1D1L4D1,3.08716E-05,,14
D1L2D1L3,3.08716E-05,,14
L6D1L3D1,3.08716E-05,,14
L3D3L1D1,3.08716E-05,,14
D1L6D3,3.08716E-05,,14
L10D5,3.08716E-05,,14
D3L3D3L3,3.08716E-05,,14
S1L6D2S1,3.08716E-05,,14
L3D1L3D1L2,3.08716E-05,,14
D1L3D2L2,3.08716E-05,,14
S1D1L6,3.08716E-05,,14
L3D2L4D2,3.08716E-05,,14
D1L3S1L3,2.86665E-05,,13
L7S1L2,2.86665E-05,,13
L1D2L2D2,2.86665E-05,,13
L2D4L2D4,2.86665E-05,,13
D3L7D2,2.86665E-05,,13
S1L11,2.86665E-05,,13
L2D2L2D4,2.86665E-05,,13
L1D1L7D1,2.86665E-05,,13
L2D1L3D3,2.86665E-05,,13
L1D1L1D4,2.86665E-05,,13
D2L1D5,2.86665E-05,,13
D1L4,2.86665E-05,,13
L2D2L1D1L1D1,2.86665E-05,,13
D13,2.86665E-05,,13
D3S1D3S1D4,2.86665E-05,,13
L1D1L4D4,2.86665E-05,,13
L4D1L1D1L2,2.86665E-05,,13
D1L7D1L1,2.86665E-05,,13
D2L1D3,2.86665E-05,,13
D4L2D1,2.86665E-05,,13
L5D1L3D2,2.86665E-05,,13
L2D3L2D3,2.86665E-05,,13
D1L8S1,2.86665E-05,,13
L4D1L1D3,2.86665E-05,,13
D1L2D1L1D1L2,2.86665E-05,,13
L2D2L8,2.86665E-05,,13
D1L1D1L1D1L1D1L1D1,2.86665E-05,,13
D4L7D1,2.86665E-05,,13
L6D1L1D1L1,2.86665E-05,,13
L1D3L2D2,2.86665E-05,,13
L1D1L5D1L2,2.86665E-05,,13
L2D4L6,2.86665E-05,,13
L4S1L6,2.86665E-05,,13
